timestamp,rrInterval,areaUp,areaDown,motion
1693556413400,620,2212,5995,34
1693556414020,620,1761,5353,4
1693556414670,650,1789,5169,8
1693556415330,660,2041,4405,14
1693556415990,660,2160,3943,8
1693556416640,650,1555,5443,10
1693556417270,630,970,4167,28
1693556417870,600,4206,2063,268
1693556418480,610,625,4554,56
1693556419140,660,8728,1401,86
1693556419760,620,2001,4983,30
1693556420370,610,1677,5959,16
1693556421630,1260,9824,5305,72
1693556422300,670,4045,2527,26
1693556422920,620,925,2764,16
1693556423650,730,1471,5248,28
1693556424320,670,1452,3732,36
1693556424580,260,1155,302,6
1693556424980,400,181,1794,20
1693556425620,640,679,3547,48
1693556426060,440,1305,1498,6
1693556426640,580,1195,4043,2
1693556427220,580,755,2227,10
1693556428510,1290,3358,17563,76
1693556429140,630,5216,5048,156
1693556429820,680,2311,13317,52
1693556430450,630,7076,2417,278
1693556431040,590,2737,3912,178
1693556431650,610,1674,5926,46
1693556432270,620,2233,7068,240
1693556432920,650,3899,8575,314
1693556433530,610,4021,429,246
1693556434140,610,2513,739,196
1693556434840,700,2739,5565,508
1693556435470,630,3460,951,70
1693556436150,680,3855,4743,110
1693556436810,660,2634,4101,148
1693556437150,340,1402,964,56
1693556438000,850,2772,6457,152
1693556438600,600,4828,774,54
1693556439230,630,3135,1973,28
1693556439860,630,1888,5278,62
1693556440200,340,264,990,144
1693556440480,280,3630,1377,24
1693556441110,630,21324,4339,104
1693556441740,630,1815,1912,52
1693556442170,430,1399,1031,108
1693556442800,630,3919,1811,592
1693556443350,550,1495,2438,166
1693556443960,610,2004,2746,162
1693556452430,620,1763,4966,36
1693556453040,610,2916,2334,36
1693556454210,1170,7171,4929,122
1693556454780,570,1069,3479,4
1693556455330,550,1459,2802,18
1693556455870,540,1243,2588,0
1693556456410,540,1069,2932,2
1693556456940,530,788,3058,6
1693556457460,520,805,1504,14
1693556458040,580,2002,669,20
1693556458620,580,1845,4282,72
1693556459060,440,430,3376,260
1693556459630,570,3800,549,366
1693556460740,1110,1307,5454,64
1693556461000,260,736,86,0
1693556461850,850,1047,2850,0
1693556462390,540,829,3172,0
1693556464470,380,6069,461,524
1693556464740,270,609,1533,224
1693556465290,550,3000,746,368
1693556465840,550,1492,1957,318
1693556466420,580,3886,816,308
1693556467220,800,1774,10302,284
1693556467990,770,6941,7778,164
1693556468990,1000,4653,3189,90
1693556469630,640,951,4041,20
1693556470280,650,908,3377,2
1693556470910,630,901,3404,2
